Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
Telluride,US Plant,May,10005,473,,0,0,1,142,0,4,0,0
Pegas,China Plants,May,0,0,,0,0,1883,1329,79,144,0,103
Forte,China Plants,May,,,,0,0,0,,,,0,2361
K3,China Plants,May,0,0,,0,0,0,0,0,0,0,426
K5 / Optima,China Plants,May,0,0,,0,0,0,0,0,0,0,383
KX1,China Plants,May,0,0,,0,0,0,0,0,215,0,773
KX3,China Plants,May,,,,0,0,0,,,,0,985
Zhipao,China Plants,May,,,,0,0,0,,,,0,1093
Sportage(KX5),China Plants,May,0,0,,0,0,0,0,0,0,0,898
KX7,China Plants,May,,,,0,0,0,,,,0,0
Carnival,China Plants,May,,,,0,0,0,,,,0,123
Sonet,China Plants,May,,,,,,,,,,,
Seltos,China Plants,May,,,,,,,,,,,
Sonet,India Plants,May,0,0,,0,0,853,532,279,191,6734,0
Seltos,India Plants,May,0,0,1277,0,0,1019,625,659,130,4251,0
Carens MPV,India Plants,May,0,0,,0,2,279,255,58,56,5805,0
Carnival (CKD),India Plants,May,0,0,,0,0,0,0,0,0,4,0
