Model,Plant,Month,Korea,U.S.A,Canada,Mexico,*Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
K5 / Optima,China Plants,April,0,0,0,0,0,,0,0,0,0,0,93
KX1,China Plants,April,0,0,0,0,0,,0,0,0,198,0,576
Sonet,China Plants,April,0,0,0,988,0,,126,0,0,0,0,87
KX3 / Seltos,China Plants,April,0,0,0,1266,0,,832,1326,45,52,0,911
Zhipao,China Plants,April,0,0,0,0,0,,0,0,0,0,0,125
KX5 / Sportage,China Plants,April,0,0,0,0,0,,0,0,0,0,0,922
Carnival,China Plants,April,0,0,0,0,0,,0,0,0,0,0,132
EV5,China Plants,April,0,0,0,0,0,,1,0,0,0,0,627
Sonet,India Plant,April,0,0,0,0,0,,538,201,174,161,8151,0
Seltos,India Plant,April,0,0,0,0,0,,231,0,430,72,6376,0
Carens MPV,India Plant,April,0,0,0,0,0,,189,408,25,58,4779,0
Carnival (CKD),India Plant,April,0,0,0,0,0,,0,0,0,0,0,0
Morning / Picanto,CKD,April,0,0,0,0,0,0,0,144,0,99,0,0
Pegas,CKD,April,0,0,0,0,0,0,0,0,0,40,0,0
K3,CKD,April,0,0,0,0,0,267,0,0,0,277,0,0
K4,CKD,April,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,April,0,0,0,0,0,0,0,0,0,18,0,0
"K7, K8 / Cadenza",CKD,April,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,April,0,0,0,0,0,0,320,0,0,767,0,0
Stonic,CKD,April,0,0,0,0,0,0,0,82,0,0,0,0
Seltos,CKD,April,0,0,0,0,0,615,0,0,0,364,0,0
Soul,CKD,April,,,,,,354,,,,,,
EV5,CKD,April,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,April,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,April,0,0,0,0,0,433,0,274,0,206,0,0
Sorento,CKD,April,0,0,0,0,0,0,0,80,0,92,0,0
New Carens,CKD,April,0,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD,April,0,0,0,0,0,0,0,0,0,303,0,0
Carnival / Sedona,CKD,April,0,0,0,0,0,0,0,0,0,758,0,0
Bongo / Frontier,CKD,April,0,0,0,0,0,0,187,0,0,590,0,0
Bongo,Special Vehicle,April,0,0,0,0,0,83,2,0,0,10,0,0
Millitary,Special Vehicle,April,126,0,0,0,0,0,0,0,52,0,0,0
Bus,Special Vehicle,April,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,April,0,0,0,0,0,10,0,0,0,56,0,0
Millitary (CKD),Special Vehicle,April,0,0,0,0,0,0,0,25,0,0,0,0
Bus (CKD),Special Vehicle,April,0,0,0,0,0,0,0,0,0,82,0,0
Morning / Picanto,Korea Plants,May,907,0,0,0,6266,162,1405,612,343,869,0,0
Pride / Rio,Korea Plants,May,0,0,0,0,7,0,0,0,2,0,0,0
Ray,Korea Plants,May,3178,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,May,1278,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,May,995,0,45,25,0,77,14,889,6,1544,0,0
K5 / Optima,Korea Plants,May,2405,1843,0,0,0,531,20,1180,0,1,0,0
Stinger,Korea Plants,May,0,0,1,0,3,0,0,24,0,0,0,0
"K7,8 / Cadenza",Korea Plants,May,1873,0,0,0,0,26,0,92,0,0,0,0
K9,Korea Plants,May,282,0,0,0,0,7,0,0,0,0,0,0
Stonic,Korea Plants,May,0,0,0,0,4822,444,125,242,39,620,0,0
Seltos,Korea Plants,May,6120,6460,1756,0,0,297,658,610,0,893,0,0
Soul,Korea Plants,May,0,5740,158,105,0,0,226,0,0,2,0,0
Soul EV,Korea Plants,May,0,0,0,0,98,0,4,0,0,0,0,0
Niro,Korea Plants,May,1596,1865,204,149,3614,12,170,142,39,246,0,0
Niro EV,Korea Plants,May,113,2350,497,0,2390,46,10,20,10,68,0,0
Niro Plus,Korea Plants,May,0,0,0,0,0,0,0,74,2,14,0,0
Niro Plus EV,Korea Plants,May,67,0,0,0,0,0,0,99,0,0,0,0
EV3,Korea Plants,May,0,0,0,0,0,0,0,0,0,0,0,0
EV4,Korea Plants,May,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,May,1380,2660,887,15,2240,16,46,95,21,226,26,6
EV9,Korea Plants,May,182,2187,515,0,885,23,12,13,3,101,0,0
Sportage,Korea Plants,May,6644,6290,1648,545,0,682,721,0,0,2402,0,0
Sorento,Korea Plants,May,7487,979,0,0,1102,624,155,1921,78,1108,0,0
Mohave / Borrego,Korea Plants,May,224,0,0,0,0,9,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,May,7211,4151,405,0,0,28,133,275,5,1279,0,0
Bongo / Frontier,Korea Plants,May,3588,0,0,0,0,789,1200,1422,161,399,0,0
Bongo EV,Korea Plants,May,462,0,0,0,0,0,0,0,0,0,0,0
